Iran strikes back after Israel, US launch war, with Jon Elmer	Kcz2Z09odKg	https://www.youtube.com/watch?v=Kcz2Z09odKg
Fighting back against EU repression of journalists, with Ali Abunimah	lAMvb9-ArR0	https://www.youtube.com/watch?v=lAMvb9-ArR0
Will Gaza be a testing ground for dubious crypto scams? with Muhammad Shehada	Bq1_9OXB-Ow	https://www.youtube.com/watch?v=Bq1_9OXB-Ow
Israel kills as heavy rains flood Gaza during Ramadan, with Nora Barrows-Friedman	TgIrmk3QYfE	https://www.youtube.com/watch?v=TgIrmk3QYfE
Iran target of massive US military buildup, with Jon Elmer	6AgtR8-OMDo	https://www.youtube.com/watch?v=6AgtR8-OMDo
Tech worker leaves Dell over Gaza genocide, with Alex Mitov	zQ69WsEz3ug	https://www.youtube.com/watch?v=zQ69WsEz3ug
EU sanctions German journalist for Gaza reporting, with Hüseyin Dogru	EnsFUGrisDY	https://www.youtube.com/watch?v=EnsFUGrisDY
Why is the Committee to Protect Journalists protecting Israel instead? With Ali Abunimah	MOowHPqB600	https://www.youtube.com/watch?v=MOowHPqB600
Israel kills babies in double-tap Gaza attack, with Nora Barrows-Friedman	-gAyUCPJa2c	https://www.youtube.com/watch?v=-gAyUCPJa2c
Resistance reveals commander behind high-profile ambushes, with Jon Elmer	et5yjddELk0	https://www.youtube.com/watch?v=et5yjddELk0
Palestine Action acquitted, with Asa Winstanley	C0pmoBKOTRE	https://www.youtube.com/watch?v=C0pmoBKOTRE
Elbit security guard attacking Palestine Action defendants with sledgehammer	PnjQfsmt0O8	https://www.youtube.com/watch?v=PnjQfsmt0O8
Footage seen by Palestine Action jury shows Israeli quadcopters being smashed	4N2xvW_ge7g	https://www.youtube.com/watch?v=4N2xvW_ge7g
How Biden lied about Palestinian death toll that Israel now admits, with Ali Abunimah	RLl1Ge9e1-w	https://www.youtube.com/watch?v=RLl1Ge9e1-w
Israel's spiteful destruction of graves in Gaza, with Nora Barrows-Friedman	au4IVyYdnio	https://www.youtube.com/watch?v=au4IVyYdnio
Doctors Without Borders must not betray Palestinians, with Dr. Ghassan Abu-Sittah	KF2VMJQPp3c	https://www.youtube.com/watch?v=KF2VMJQPp3c
Details emerge of US concentration camp plan for Gaza, with Ali Abunimah	Gy7bkGqKGOQ	https://www.youtube.com/watch?v=Gy7bkGqKGOQ
